"","Year","Month","DayofMonth","DayOfWeek","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","TaxiIn","TaxiOut","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","Airline"
"1",2008,"January",3,"Thursday",90,90,77,34,34,"IND","BWI",3,10,2,0,0,0,32,"Southwest Airlines"
"2",2008,"January",3,"Thursday",240,250,230,57,67,"IND","LAS",3,7,10,0,0,0,47,"Southwest Airlines"
"3",2008,"January",3,"Thursday",121,135,107,80,94,"IND","MCO",6,8,8,0,0,0,72,"Southwest Airlines"
"4",2008,"January",3,"Thursday",228,240,213,15,27,"IND","PHX",7,8,3,0,0,0,12,"Southwest Airlines"
"5",2008,"January",3,"Thursday",123,135,110,16,28,"IND","TPA",4,9,0,0,0,0,16,"Southwest Airlines"
"6",2008,"January",3,"Thursday",155,195,143,47,87,"ISP","FLL",6,6,40,0,0,0,7,"Southwest Airlines"
"7",2008,"January",3,"Thursday",147,165,134,64,82,"ISP","MCO",6,7,5,0,0,0,59,"Southwest Airlines"
"8",2008,"January",3,"Thursday",135,145,118,72,82,"ISP","MDW",6,11,3,0,0,0,69,"Southwest Airlines"
"9",2008,"January",3,"Thursday",136,130,121,21,15,"JAN","BWI",7,8,0,0,6,0,15,"Southwest Airlines"
"10",2008,"January",3,"Thursday",70,80,60,35,45,"JAN","HOU",3,7,26,0,0,0,9,"Southwest Airlines"
"11",2008,"January",3,"Thursday",96,100,81,49,53,"JAN","MCO",8,7,7,0,0,0,42,"Southwest Airlines"
"12",2008,"January",3,"Thursday",71,75,59,19,23,"JAX","BHM",3,9,0,0,0,0,19,"Southwest Airlines"
"13",2008,"January",3,"Thursday",99,95,77,30,26,"JAX","BNA",6,16,26,0,4,0,0,"Southwest Airlines"
"14",2008,"January",3,"Thursday",86,90,72,26,30,"JAX","BNA",5,9,0,0,0,10,16,"Southwest Airlines"
"15",2008,"January",3,"Thursday",143,150,125,31,38,"JAX","HOU",6,12,11,0,0,0,20,"Southwest Airlines"
"16",2008,"January",3,"Thursday",127,135,113,36,44,"JAX","PHL",4,10,3,0,0,0,33,"Southwest Airlines"
"17",2008,"January",3,"Thursday",54,50,36,62,58,"JAX","TPA",4,14,0,0,4,0,58,"Southwest Airlines"
"18",2008,"January",3,"Thursday",75,85,60,43,53,"LAS","ABQ",4,11,15,0,0,0,28,"Southwest Airlines"
