"","Origin","Destination","Mean","Frequency","org","dst","group"
"3494","CAE","ORD",61.1581632653061,196,1,11,"a"
"1693","PVD","EWR",61.2,140,2,12,"b"
"3606","SPI","ORD",61.5398230088496,113,3,11,"c"
"3552","LNK","ORD",62.4962406015038,133,4,11,"d"
"4334","ACV","SFO",62.6569506726457,446,5,13,"e"
"4387","RDD","SFO",62.6895161290323,248,6,13,"f"
"4393","SBP","SFO",62.8716216216216,296,7,13,"g"
"4378","ONT","SFO",63.2965517241379,290,8,13,"e"
"4392","SBA","SFO",64.3783783783784,407,9,13,"f"
"4345","CEC","SFO",68.5408805031446,159,10,13,"g"
