"","Group.1","Group.2","x"
"1",1,"April",131014
"2",2,"April",67264
"3",3,"April",102255
"4",4,"April",189076
"5",5,"April",87019
"6",6,"April",123077
"7",7,"April",80919
"8",8,"April",65198
"9",9,"April",90449
"10",10,"April",153091
"11",11,"April",132903
"12",12,"April",79017
"13",13,"April",77347
"14",14,"April",62000
"15",15,"April",47050
"16",16,"April",55291
"17",17,"April",51012
"18",18,"April",75154
"19",19,"April",55789
"20",20,"April",82845
"21",21,"April",61521
"22",22,"April",45413
"23",23,"April",63142
"24",24,"April",66453
"25",25,"April",92681
"26",26,"April",63541
"27",27,"April",63729
"28",28,"April",112663
"29",29,"April",55703
"30",30,"April",44826
"31",1,"August",116594
"32",2,"August",96025
"33",3,"August",92772
"34",4,"August",112663
"35",5,"August",121508
"36",6,"August",79262
"37",7,"August",130256
"38",8,"August",106494
"39",9,"August",76335
"40",10,"August",98196
"41",11,"August",112419
"42",12,"August",76045
"43",13,"August",61496
"44",14,"August",89104
"45",15,"August",148123
"46",16,"August",99934
"47",17,"August",71553
"48",18,"August",81149
"49",19,"August",51665
"50",20,"August",87026
"51",21,"August",88460
"52",22,"August",76437
"53",23,"August",49539
"54",24,"August",57462
"55",25,"August",82218
"56",26,"August",76491
"57",27,"August",44181
"58",28,"August",55958
"59",29,"August",85989
"60",30,"August",32870
"61",31,"August",20569
"62",1,"December",216549
"63",2,"December",66886
"64",3,"December",51278
"65",4,"December",59965
"66",5,"December",46525
"67",6,"December",28780
"68",7,"December",66735
"69",8,"December",40226
"70",9,"December",58886
"71",10,"December",102628
"72",11,"December",97105
"73",12,"December",78097
"74",13,"December",42040
"75",14,"December",78063
"76",15,"December",144325
"77",16,"December",108991
"78",17,"December",180707
"79",18,"December",178619
"80",19,"December",178979
"81",20,"December",151298
"82",21,"December",197637
"83",22,"December",203974
"84",23,"December",171653
"85",24,"December",154855
"86",25,"December",76308
"87",26,"December",143125
"88",27,"December",186063
"89",28,"December",115374
"90",29,"December",68050
"91",30,"December",83922
"92",31,"December",82405
"93",1,"February",179999
"94",2,"February",64125
"95",3,"February",100997
"96",4,"February",144802
"97",5,"February",126412
"98",6,"February",108288
"99",7,"February",100761
"100",8,"February",117380
"101",9,"February",45041
"102",10,"February",103249
"103",11,"February",105458
"104",12,"February",118396
"105",13,"February",149888
"106",14,"February",112147
"107",15,"February",115360
"108",16,"February",75502
"109",17,"February",129654
"110",18,"February",164319
"111",19,"February",108301
"112",20,"February",98837
"113",21,"February",137308
"114",22,"February",198251
"115",23,"February",96812
"116",24,"February",112152
"117",25,"February",95426
"118",26,"February",154238
"119",27,"February",74017
"120",28,"February",58317
"121",29,"February",119697
"122",1,"January",140262
"123",2,"January",210477
"124",3,"January",152459
"125",4,"January",116365
"126",5,"January",131422
"127",6,"January",155581
"128",7,"January",96479
"129",8,"January",96041
"130",9,"January",61531
"131",10,"January",87395
"132",11,"January",92915
"133",12,"January",31060
"134",13,"January",61962
"135",14,"January",58437
"136",15,"January",53433
"137",16,"January",39228
"138",17,"January",124261
"139",18,"January",115256
"140",19,"January",69829
"141",20,"January",62663
"142",21,"January",139707
"143",22,"January",136207
"144",23,"January",90482
